Sample_ID,Language,Error_Type,Token_Length,Token_Preview
sw2005_B_2,CS,Long_Token,68," je to jedna z posledních věcí na světě, které bys kdy chtěl udělat "
sw2005_B_2,DE,Long_Token,88," , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun "
sw2005_B_2,DE,Long_Token,24, . Unless es ist einfach
sw2005_B_4,DE,Long_Token,110,", oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganf..."
sw2005_B_14,CS,Long_Token,83," při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě "
sw2005_A_19,DE,Long_Token,128," in meiner Familie, uh, meine Großmutter, sie musste in ein Pflegeheim getan werden und, um, sie hat..."
sw2005_A_99,CS,Long_Token,100," myslím, že co jedna věc, která je pravděpodobně znepokojovala, byla skutečnost, že to nebylo nutně "
sw2005_A_99,DE,Long_Token,101, one thing das sie sich wahrscheinlich Sorgen machten war die Tatsache es war nicht notwendigerweise...
sw2005_A_99,ES,Long_Token,73," les preocupaba probablemente era el hecho de que no era necesariamente, "
sw2005_A_147,CS,Long_Token,79," ehm, s mnoha mnoha lidmi, zejména tam, kde měli, ehm, rozšířenou rodinu. A já "
sw2005_A_147,CS,Long_Token,90, bychom se mohli potřebovat jako přiblížit k rodinnému prostředí a a dostat se k hodnotám 
sw2005_A_147,DE,Long_Token,105, wir könnten brauchen like nah zu kommen zur Familienumgebung and und runter zu kommen zu den Werten...
sw2008_B_6,CS,Long_Token,73,", nosím obleky, nosím sukně a svetry. Při příležitosti můžu nosit džíny. "
sw2008_B_6,DE,Long_Token,76,", ich trage Anzüge, Röcke und Pullover. Gelegentlich kann ich Jeans tragen. "
sw2010_B_22,CS,Long_Token,46," to nikam nedojde, že to bude jen nuda. Takže "
sw2010_B_22,ES,Long_Token,73," no iba a llegar a ningún lado, que iba a ser un fracaso. Entonces, ello "
sw2010_A_23,CS,Long_Token,54," občas přehánět, když mi někdo říká, že je to skvělé. "
sw2010_A_23,ES,Long_Token,77, sobre-reaccionar ocasionalmente cuando alguien me dice que es tan genial. Y 
sw2010_B_38,ES,Long_Token,66," no hay realmente ninguna, uh, sangre y tripas ni nada de eso. Es "
sw2010_B_38,ES,Long_Token,76," es más suspenso. Um, la otra, EL SILENCIO DE LOS INOCENTES, es un poco una "
sw2010_B_38,ES,Long_Token,48, si a alguien no le gusta ese tipo de cosas. Es 
sw2010_B_50,CS,Long_Token,106," získal všechny druhy ocenění nebo ať to jen bylo v pořádku na kinech, myslím, že by byl šťastný. Pr..."
sw2012_A_25,CS,Long_Token,281," o konspiračních teoriích CIA nebo čemkoli, by takové strany chtěly dělat bez vašeho vědomí. Takže e..."
sw2012_A_61,CS,Long_Token,68,", že to byl nekontrolovaný přístup k tomu, kdo by měl ty informace. "
sw2012_A_61,CS,Long_Token,54," řekli, že by ji poskytli pouze vybraným společnostem "
sw2012_A_61,ES,Long_Token,57," decían que la darían solo a compañías selectas pero, um "
sw2012_A_63,CS,Long_Token,131,"Bylo by to pirátské a stejně by se nikdo neobtěžoval to pečlivě kontrolovat u někoho, kdo nabízí, ví..."
sw2012_A_87,CS,Long_Token,81,", lidé vám začnou věnovat velmi velkou pozornost a začnou se ptát a v tom smyslu "
sw2012_A_87,CS,Long_Token,71,", narušují vaši soukromí, i když, pokud víte, jaké jsou sociální normy "
sw2012_A_87,ES,Long_Token,74," invadiendo tu privacidad aunque, si sabes cuáles son las normas sociales "
sw2012_B_98,IT,Long_Token,60,"ci sono altre cose specifiche che, che ti senti come, dove, "
sw2012_A_99,ES,Long_Token,163,", lo cual es más intrusivo porque tengo que decirle realmente a alguien que se vaya. Y hay esa sensa..."
sw2012_A_99,IT,Long_Token,56,"o i Mormoni o qualcuno che bussa alla porta d'ingresso, "
sw2012_A_99,IT,Long_Token,161,", che è più invadente perché devo davvero dire a qualcuno di andarsene. E c'è quella sensazione di, ..."
sw2015_B_18,ES,Long_Token,133, no puedes realmente detener a esas personas de venir alrededor incluso aunque ellos pongan señales ...
sw2015_B_18,ES,Long_Token,56," pero ellos todavía llegan hasta la puerta principal y, "
sw2015_B_18,ES,Long_Token,54, caminan alrededor. Así que usualmente lo que hago es 
