Token,Frequency
", ",10
 أنت تعرف ، ,6
. ,5
و,1
كانت,1
أكثر,1
أنا,1
 نحن نحاول أن، آه، نفعل ذلك هذا العام. لقد وضعنا في الميزانية المال الذي نحن كنّا نستخدم لإنفاق ، ,1
 في الغالب ما نحن نقوم به ، ,1
 لقد قمنا بـ، آه، حساب coda مع t i حيث هم ، ,1
 الشيء الآخر الذي نحن قمنا به، ذلك ، ,1
 آه، شركة جون هانكوك جاءت، وقام وكيلهم بعمل تحليل طويل المدى بناءً على الراتب و، آه، ما كنّا نخط- ، ,1
 فقط رجل تأمين حياتنا قد جاء ، ,1
 آه ، ,1
 نعم ، ,1
 أنت تعرف، إذا، هو ، ,1
 أنت تعرف ، إلى مدينتي الأصلية، و ، ,1
 لدي ، ,1
 من الهوايات، لذلك، قراءاتي ، ,1
 من الـ ، ,1
 إنه ، ,1
 آه، بالتأكيد، إنه رائع بالطريقة التي تم تقسيمه بها ويمكنك، آه، تنظيم رحلات صغيرة ورحلات يومية وأشياء. إنه جميل ، ,1
 الكثير من، آه، مجلات البناء و ، ,1
 ومجلات هندسة المصانع و، أقرأ عن طرق مختلفة للقيام بالأشياء ومجلات إدارة الطاقة و ، ,1
 ذلك دائمًا ، ,1
 أعتقد ليس الكثير من الكتب على الرغم من أنها أحيانًا تحتوي على كتيبات وأشياء، لكن، آه، ستكون أشياء عن مثل كيف تكون ناجحًا ونوعًا ما تتحدث إلى نفسك ,1
 و، أنت تعرف ، ,1
 أحاول أن أراقب ذلك حقًا وكما تقول ، ,1
 أنت تعرف، و لأن- ، ,1
 أنا كذلك. أعمل أسرع، أنجز الأمور أسرع، من عندما أكون في فستان وكعب ، ,1
 إنه أنا أفعل ، ,1
 أستطيع أن أنجز الكثير أكثر إذا كنت مرتديًا ملابس مريحة ، ,1
 أنت تعرف ، إذا دخلت مرتديًا بنطالًا، و أنا أبدًا ، ,1
 أنت تعرف. لكن سأدخل مرتديًا بنطالًا. أنا أعني اليوم كنت أرتدي زوجًا من ، ,1
 و، آه، مثل قميص لونه خوخي و ، ,1
 ستعيقك ، ,1
 أنت تعرف ، بدلتك اليومية للنجاح في العمل إذا ، ,1
 أنت تعرف ، لا أعرف إذا كانوا يفعلون أم لا. أنت تعرف ، أرى الكثير من المديرين وهم يرتدون الجينز، لذا ، ,1
 بالاعتناء بـ آه، أنا في الواقع في قسم الهواء، ونحن نراقب، أم، أي شيء يخرج من مداخن، أو من مبنى، أو، أم، لدينا عملاء، أم، اهتماماتهم تكون في مكان العمل ونحن نعتني بذلك، لكن، داخل قسمنا. نحن نعتني بكل شيء. مياه الصرف، آه، النفايات الصلبة، وإعادة التدوير، و ، ,1
 و، أم، تركيزها، و إذا ، ,1
 الله يمنع ، ,1
 انفجار مبنى أو شيء ذل- ، ,1
 هم ما زالوا ، ,1
 قرص c d جديد، لكن أنا ، ,1
 أنا أحب رولينغ ستونز القديمة. لا أحب الأشياء الجديدة.,1
 أنت تعرف، إنها مثل ، ,1
 الثمانينيات يُطلق عليها، مثل السنوات التقدمية، أو الـ ، ,1
