Sample_ID,Language,Error_Type,Token_Length,Token_Preview,Full_Token,Context
sw2005_B_2,CS,Long_Token,68," je to jedna z posledních věcí na světě, které bys kdy chtěl udělat "," je to jedna z posledních věcí na světě, které bys kdy chtěl udělat ","
_No, samozřejmě, to je _, _ ty víš _, _ je to jedna z posledních věcí na světě, které bys kdy chtěl udělat _, _ ty víš _. _ Ledaže je to prostě _, _ ty víš _, _ opravdu _, _ ty víš _, _ a, ehm, pro n..."
sw2005_B_2,DE,Long_Token,88," , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun "," , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun ","_Also_, natürlich, _es_ _ ist_ _, _ _du_ _ weisst _ _ , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun _ _ , du _ _weisst _ _ . Unless es ist einfach_, _ _ du _ _..."
sw2005_B_2,DE,Long_Token,24, . Unless es ist einfach, . Unless es ist einfach,"_Also_, natürlich, _es_ _ ist_ _, _ _du_ _ weisst _ _ , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun _ _ , du _ _weisst _ _ . Unless es ist einfach_, _ _ du _ _..."
sw2005_B_4,DE,Long_Token,110,", oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganf...",", oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganfall about ","Ich wäre sehr sehr vorsichtig_ und _ _ , uh _ _ du _ _weisst _ _ Überprüfen Sie sie. _Uh_, oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganfall about _..."
sw2005_B_14,CS,Long_Token,83," při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě "," při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě ","
_Ty víš _, _ je něco jiného, co jsme mohli udělat _, _ ty víš _, _ při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě _, _ ty víš _, _ není jedno na každém rohu, zejmén..."
sw2005_A_19,DE,Long_Token,128," in meiner Familie, uh, meine Großmutter, sie musste in ein Pflegeheim getan werden und, um, sie hat..."," in meiner Familie, uh, meine Großmutter, sie musste in ein Pflegeheim getan werden und, um, sie hatte den Rollator benutzt for ","_Uh-huh _ _ Yeah _ _ , Wahrscheinlich das härteste Ding in _ _ in meiner Familie, uh, meine Großmutter, sie musste in ein Pflegeheim getan werden und, um, sie hatte den Rollator benutzt for _ _ für zi..."
sw2005_A_99,CS,Long_Token,100," myslím, že co jedna věc, která je pravděpodobně znepokojovala, byla skutečnost, že to nebylo nutně "," myslím, že co jedna věc, která je pravděpodobně znepokojovala, byla skutečnost, že to nebylo nutně ","A,_ehm, já _, _ já _, _ myslím, že co jedna věc, která je pravděpodobně znepokojovala, byla skutečnost, že to nebylo nutně _, _ _ ty víš _, _ _ jako množství péče, ale kvalita, péče."
sw2005_A_99,DE,Long_Token,101, one thing das sie sich wahrscheinlich Sorgen machten war die Tatsache es war nicht notwendigerweise..., one thing das sie sich wahrscheinlich Sorgen machten war die Tatsache es war nicht notwendigerweise ,"Und, um, I _ _ I think that what _ one thing das sie sich wahrscheinlich Sorgen machten war die Tatsache es war nicht notwendigerweise _ _ you know _ _ wie die Quantität von Pflege sondern die Qualitä..."
sw2005_A_99,ES,Long_Token,73," les preocupaba probablemente era el hecho de que no era necesariamente, "," les preocupaba probablemente era el hecho de que no era necesariamente, ","Y, _eh_, _yo_, _yo_ _creo_que_ lo único _que_ les preocupaba probablemente era el hecho de que no era necesariamente, _ya sabes_, la cantidad de cuidados, sino la calidad de los cuidados."
sw2005_A_147,CS,Long_Token,79," ehm, s mnoha mnoha lidmi, zejména tam, kde měli, ehm, rozšířenou rodinu. A já "," ehm, s mnoha mnoha lidmi, zejména tam, kde měli, ehm, rozšířenou rodinu. A já ","_Jo _. _ Ale, ehm, já _, _ já _, _ myslím, že _, _ ty víš _, _ my vždy _, _ ehm _, _ J edy _, _ já jsem _, _ já jsem měl spoustu dobrých zkušeností s _, _ ehm, s mnoha mnoha lidmi, zejména tam, kde mě..."
sw2005_A_147,CS,Long_Token,90, bychom se mohli potřebovat jako přiblížit k rodinnému prostředí a a dostat se k hodnotám , bychom se mohli potřebovat jako přiblížit k rodinnému prostředí a a dostat se k hodnotám ,"_Jo _. _ Ale, ehm, já _, _ já _, _ myslím, že _, _ ty víš _, _ my vždy _, _ ehm _, _ J edy _, _ já jsem _, _ já jsem měl spoustu dobrých zkušeností s _, _ ehm, s mnoha mnoha lidmi, zejména tam, kde mě..."
